commit,branch1,branch2,merge,rework,wasted,extra,merge_commits_count,files_edited_b1,files_edited_b2,files_edited_intersection,files_edited_union,files_add_b1,files_add_b2,files_add_intersection,files_add_union,files_rm_b1,files_rm_b2,files_rm_intersection,files_rm_union,files_changed_b1,files_changed_b2,files_changed_intersection,files_changed_union,lines_add_b1,lines_add_b2,lines_add_intersection,lines_add_union,lines_rm_b1,lines_rm_b2,lines_rm_intersection,lines_rm_union,lines_changed_b1,lines_changed_b2,lines_changed_intersection,lines_changed_union,commits_b1,commits_b2,commits_total,authors_b1,authors_b2,authors_intersection,authors_union,committers_b1,committers_b2,committers_intersection,committers_union,time_total,time_min_total,time_max_total,time_min_branch,time_max_branch,merge_type,project_commits,developer_commits_in_window_of_time,developer_commits_until_merge,developer_no_merges_in_window_of_time,developer_no_merges_until_merge,developer_merges_in_window_of_time,developer_merges_until_merge,project
4962220315d5e2c429ab63f558381528e808eafd,10,223,233,0,0,0,480,1,8,0,9,0,0,0,0,0,0,0,0,1,8,0,9,5,134,0,139,5,89,0,94,10,217,0,227,1,7,8,1,2,0,3,1,2,0,3,34850,1761,31627,-2195,29866,branch,10147,0,6660,0,6074,0,586,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
7f3b823998071e451c0571050d8115e948b67cc9,10,216,226,0,0,0,481,1,1,0,2,0,0,0,0,0,0,0,0,1,1,0,2,5,110,0,115,5,106,0,111,10,165,0,175,1,3,4,1,2,1,2,1,2,0,3,3292,3223,3269,0,25251,branch,10151,0,6662,0,6074,0,588,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
7c7f3a89d1e559b659ff75bf44a23bdbca4562e5,138,6,144,0,0,0,482,6,1,1,6,4,0,0,4,0,0,0,0,10,1,1,10,99,2,0,101,39,4,0,43,133,6,0,139,12,2,14,2,2,0,4,2,1,0,3,73361,37875,67504,28845,60137,branch,10185,0,6677,0,6088,0,589,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
ac8e72a95d3a4f9f6988bcf4b1f12cb14ef7ec24,4757,59,4816,0,0,0,483,31,3,0,34,21,0,0,21,1,0,0,1,53,3,0,56,2924,50,0,2974,1833,9,0,1842,4473,59,0,4532,70,1,71,6,1,0,7,6,1,0,7,162832,132811,162517,0,138130,workspace,10132,0,6652,0,6067,0,585,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
f5c208230451c2f8446b639a4458a255e14778fb,304,20,317,0,11,3,484,10,3,3,10,1,0,0,1,0,0,0,0,11,3,3,11,123,16,0,139,181,4,0,185,303,20,1,322,8,1,9,1,1,1,1,1,1,1,1,139217,4485,138736,-86835,134251,workspace,1918,3,274,3,262,0,12,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
e8e491bdbf86b95e2ce2beac2a7062c57bfd9e5d,36,646,682,0,0,0,485,2,4,0,6,0,4,0,4,0,0,0,0,2,8,0,10,31,645,0,676,5,1,0,6,36,646,0,682,1,3,4,1,1,0,2,1,1,0,2,121477,79079,121151,-42072,111695,branch,1881,83,238,73,227,10,11,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
357b965b4455422cfdeb2676befda31d017f944f,567,1532,2093,2,6,0,486,7,13,5,15,3,9,0,12,0,1,0,1,10,23,6,27,563,1288,1,1850,4,244,1,247,567,1531,3,2095,18,6,24,3,1,1,3,1,1,1,1,444255,441948,442280,-330,442185,branch,1875,81,235,72,225,9,10,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
27467189ab184c5d098e244e01f7d1bfdb0d4d45,457,9246,9703,0,0,0,487,3,178,1,180,2,46,0,48,0,1,0,1,5,225,1,229,457,6021,0,6478,0,3225,0,3225,457,9152,0,9609,12,490,502,1,38,0,39,1,8,0,9,12841169,12806572,12840162,12747729,12809435,branch,11362,0,19,0,17,0,2,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
83e6c01e4d393f642231ed76e7a44804ec781f66,284,27,311,0,0,0,488,5,4,1,8,0,0,0,0,1,0,0,1,6,4,1,9,124,7,0,131,160,20,0,180,284,27,0,311,8,2,10,1,1,1,1,1,1,1,1,1219485,928366,1219391,504302,1142703,branch,1790,13,160,13,158,0,2,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
f15965e205a5c11adca6b08c14c8fffccdcc9cc5,1548,4,1552,0,0,0,489,9,1,0,10,9,0,0,9,1,0,0,1,19,1,0,20,1302,4,0,1306,246,0,0,246,1547,4,0,1551,4,1,5,1,1,1,1,1,1,1,1,3460,1919,3404,-1485,3325,branch,1842,10,212,9,205,1,7,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
f64983f8791f8c1bcd33bae02cdaaa3f369421e1,1548,13,1561,0,0,0,490,9,2,0,11,9,0,0,9,1,0,0,1,19,2,0,21,1302,5,0,1307,246,8,0,254,1547,13,0,1560,1,1,2,1,1,1,1,1,1,1,1,11093,56,11058,-11002,11002,branch,1844,11,214,10,206,1,8,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
b0b41cbbe6e316d63f196d8043b636a9050376fc,274,7335,7609,0,0,0,491,3,14,1,16,2,2,0,4,0,79,0,79,5,95,1,99,274,162,0,436,0,7173,0,7173,274,7335,0,7609,2,14,16,2,3,0,5,2,2,0,4,270595,43673,239868,2403,199318,branch,10860,0,7,0,6,0,1,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
1bfd8110affb394d648911a33c941f5d44e2422f,298,10,308,0,0,0,492,5,2,0,7,0,0,0,0,1,0,0,1,6,2,0,8,135,5,0,140,163,5,0,168,298,10,0,308,2,1,3,1,1,1,1,1,1,1,1,168013,162695,167972,0,167878,branch,1793,14,163,14,160,0,3,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
acfa846aab4ed2c5acb00c9d4eab6b80c13114fd,2116,27,2143,0,0,0,493,58,1,1,58,8,1,0,9,0,0,0,0,66,2,1,67,1621,23,0,1644,493,4,0,497,1895,27,0,1922,48,1,49,4,1,1,4,5,1,1,5,412051,23795,411876,-284,388081,workspace,10084,0,6613,0,6030,0,583,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
e4f1bf88e93ae9a331339071f631a5b5cd9ee346,0,10,10,0,0,0,494,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,5,0,5,0,5,0,10,0,10,2,2,4,1,1,0,2,1,1,0,2,11929,11167,11235,37,225,workspace,10119,0,6640,0,6056,0,584,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
f114153481b81320e73e55cc5524680cd8f5ebfc,3541,383,3924,0,0,0,496,18,5,1,22,5,4,0,9,1,0,0,1,24,9,1,32,1960,288,0,2248,1581,95,0,1676,3539,383,0,3922,35,2,37,3,1,1,3,3,1,1,3,256553,13150,243246,112,239612,workspace,10284,0,6712,0,6122,0,590,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
52a8116e71636f05053c959675b3abcb745e921a,55,305,360,0,0,0,497,2,5,0,7,4,1,0,5,0,0,0,0,6,6,0,12,44,169,0,213,11,136,0,147,55,302,0,357,2,3,5,1,1,0,2,1,1,0,2,36830,6445,6508,-36,4914,workspace,9970,0,6544,0,5968,0,576,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
32f9dbbae5e3e1cce43d372db5564da378947388,8,86,94,0,0,0,498,1,2,0,3,0,0,0,0,0,0,0,0,1,2,0,3,6,44,0,50,2,42,0,44,8,68,0,76,1,2,3,1,1,0,2,1,1,1,1,27864,26951,27782,-831,910,branch,10019,0,6566,0,5987,0,579,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
af048816555046d83f2cc4813d61e0430321476e,1008,1177,2185,0,0,0,499,26,6,2,30,4,4,0,8,2,0,0,2,32,10,2,40,563,1157,0,1720,445,20,0,465,982,1172,0,2154,27,2,29,6,1,1,6,5,1,0,6,243915,230046,242087,158189,190293,workspace,10022,0,6567,0,5987,0,580,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
0181e66250302516863eaa4e25bb5b4b10807e2b,3251,85,3319,17,42,29,501,41,9,6,44,7,0,0,7,2,0,0,2,50,9,6,53,1727,70,4,1793,1524,15,6,1533,3216,85,12,3289,56,2,58,2,1,1,2,2,1,1,2,9523528,320514,9513691,-129913,9193260,branch,1713,34,84,33,83,1,1,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
61133b52687ac96dd4171d189d9770cae2ae7a6c,2,6,8,0,0,0,502,1,1,0,2,0,0,0,0,0,0,0,0,1,1,0,2,2,3,0,5,0,3,0,3,2,6,0,8,1,1,2,1,1,1,1,1,1,1,1,29176,354,29132,-28778,28778,branch,9980,0,6552,0,5974,0,578,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
94c73e84d58b538736e62a66842c13e566f51f31,1021,713,1734,0,0,0,503,20,4,1,23,2,5,0,7,0,0,0,0,22,9,1,30,710,713,0,1423,311,0,0,311,1016,713,0,1729,18,30,48,3,3,1,5,3,3,1,5,209758,28592,208952,-33465,20401863,branch,11486,0,7349,0,6744,0,605,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
3361f85f8ea2d153d6f5457cbae511e33a09e994,504,146,650,0,0,0,504,19,4,1,22,5,1,0,6,0,0,0,0,24,5,1,28,301,131,0,432,203,15,0,218,501,141,0,642,15,2,17,4,1,0,5,4,1,0,5,186086,131748,183557,109409,161812,workspace,9976,0,6548,0,5971,0,577,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
bd7cf8dbd5b2d7db662a5f961cb2863fd2e73f14,34,45,79,0,1,1,506,13,2,2,13,0,0,0,0,0,0,0,0,13,2,2,13,21,32,0,53,13,13,0,26,34,45,0,79,2,1,3,2,1,1,2,2,1,1,2,466986,311450,466568,0,250776,branch,5712,0,3448,0,3201,0,247,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
4eb150a14ce07b54d388048a8808176681f369d3,357,14,371,0,0,0,508,2,1,0,3,0,1,0,1,0,0,0,0,2,2,0,4,243,14,0,257,114,0,0,114,343,14,0,357,2,1,3,2,1,1,2,2,1,1,2,131893,121655,130265,0,11318,workspace,4584,59,2778,51,2681,8,97,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
91bc446e4bb1ddb30a080faaea9c1709a5f76a43,371,2,373,0,0,0,509,3,1,0,4,1,0,0,1,0,0,0,0,4,1,0,5,257,1,0,258,114,1,0,115,357,2,0,359,4,1,5,2,1,1,2,2,1,1,2,131961,128116,131893,0,12946,workspace,4586,60,2779,51,2681,9,98,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
aae90a8671d4fdb46ede2669e6713a559b9d3fbb,58,35,93,0,0,0,510,5,3,0,8,0,0,0,0,0,0,0,0,5,3,0,8,41,23,0,64,17,12,0,29,58,34,0,92,3,1,4,1,1,0,2,1,1,0,2,8344,7692,7711,0,4570,workspace,5238,136,3170,102,2990,34,180,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
d6f097312873596a7eef12c55d20375ab035f2cd,85,14,99,0,0,0,514,4,2,0,6,0,0,0,0,0,0,0,0,4,2,0,6,59,11,0,70,26,3,0,29,85,14,0,99,3,1,4,1,1,0,2,1,1,0,2,18754,5156,18595,0,14050,workspace,5302,149,3197,104,3003,45,194,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
4a535211d8a9ef80e859925694e1b06e76f62196,9536,10,9545,1,0,0,518,90,1,1,90,52,0,0,52,0,0,0,0,142,1,1,142,7363,9,1,7371,2172,1,0,2173,9381,10,1,9390,393,1,394,11,1,0,12,11,1,0,12,4361449,95052,4352674,-39852,4257622,workspace,5281,144,3186,101,2997,43,189,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
95d9b43b425a57575c4c147a105cbe69d78854eb,56,11,67,0,0,0,520,4,2,0,6,0,0,0,0,0,0,0,0,4,2,0,6,34,8,0,42,22,3,0,25,56,11,0,67,3,2,5,2,1,0,3,2,1,0,3,11374,268,11042,0,4268664,workspace,5285,146,3188,102,2998,44,190,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
8a3363a269cda134a60d5061e93d09363b5586af,1928,2,1930,0,1,1,521,50,1,1,50,7,0,0,7,2,0,0,2,59,1,1,59,1564,2,0,1566,364,0,0,364,1911,2,0,1913,116,1,117,18,1,0,19,17,1,0,18,6609708,205628,6608971,-147966,6403343,branch,5630,36,3393,24,3152,12,241,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
4e483dbf9a15e7b9605cc80b400d5a1746735d8e,20,296,316,0,0,0,522,1,4,0,5,0,1,0,1,0,0,0,0,1,5,0,6,11,37,0,48,9,259,0,268,20,296,0,316,3,1,4,2,1,0,3,2,1,0,3,3250,2352,3138,0,38210,workspace,5268,141,3182,101,2996,40,186,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
7684b24959ebe49da036d14ed75d585e7afe2da6,651,26,677,0,0,0,523,13,3,0,16,0,2,0,2,0,0,0,0,13,5,0,18,386,22,0,408,265,4,0,269,539,24,0,563,15,2,17,2,1,0,3,2,1,0,3,73095,69235,71215,2934,37465,workspace,5314,159,3207,113,3012,46,195,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
31811657fa3d097b6399ae8ec83c180ed4f38afe,78,9,87,0,0,0,524,7,2,0,9,0,0,0,0,0,0,0,0,7,2,0,9,46,5,0,51,32,4,0,36,78,9,0,87,8,2,10,3,1,0,4,3,1,0,4,23131,13971,14527,8592,4272149,workspace,5290,149,3191,104,3000,45,191,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
e690fe4a3e13ba1720c2012c9909a6aaf2d8ec8d,38,82,120,0,0,0,527,4,3,0,7,0,0,0,0,0,0,0,0,4,3,0,7,29,56,0,85,9,26,0,35,38,82,0,120,4,5,9,2,1,1,2,2,1,0,3,90063,79131,90043,-8270,21162,workspace,5278,142,3184,100,2996,42,188,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
f3133a8e9ee9095daed3261056e9bc2f4b129dfb,23,154,177,0,0,0,528,6,12,0,18,0,0,0,0,0,0,0,0,6,12,0,18,12,99,0,111,11,55,0,66,23,154,0,177,4,4,8,1,1,0,2,1,1,0,2,41196,13056,40617,-13814,27562,workspace,6686,0,4186,0,3836,0,350,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
bc06ef0edb79b1b1fbaef8dffec223285ac72b3a,228,110,324,4,14,0,529,9,3,1,11,0,0,0,0,0,0,0,0,9,3,1,11,195,75,0,270,33,35,4,64,228,107,4,331,3,6,9,1,1,0,2,1,1,0,2,31045,4713,26404,-986,23672,branch,5248,140,3174,105,2993,35,181,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
971dca588eea698c3a59a4da147180c138b16365,157,181,338,0,0,0,530,8,2,0,10,0,0,0,0,0,0,0,0,8,2,0,10,101,128,0,229,56,53,0,109,157,181,0,338,15,5,20,3,1,0,4,2,1,0,3,362177,333570,346929,155,89436,workspace,4562,43,2761,38,2667,5,94,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
17e48ba81e4bb339b7bc08aed9b42c592bdbcd01,33,950,982,1,0,0,532,4,3,3,4,2,1,0,3,0,0,0,0,6,4,3,7,29,496,1,524,4,454,0,458,33,948,3,978,3,3,6,2,2,1,3,2,1,1,2,83253,68687,83112,-8372,77185,branch,5220,127,3161,97,2985,30,176,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
a61dce88e85fdc3d8cc19347b156e2e408f3f405,153,684,837,0,0,0,534,10,7,0,17,1,0,0,1,0,0,0,0,11,7,0,18,100,4,0,104,53,680,0,733,153,684,0,837,4,1,5,1,1,1,1,1,1,1,1,173017,121006,126199,-90,5193,workspace,8984,0,5819,0,5274,0,545,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
c2a0d47c7b15483efa565ab2b6d9fa836e3a8818,0,8,8,0,0,0,535,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,5,0,3,0,3,0,8,0,8,1,1,2,1,1,0,2,1,1,0,2,7347,1907,3953,-2046,2046,workspace,5255,139,3178,105,2995,34,183,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
08bed142bac5b245d72810f08c2170df671cba5c,982,2,984,0,0,0,537,4,1,0,5,3,0,0,3,0,0,0,0,7,1,0,8,524,2,0,526,458,0,0,458,978,2,0,980,7,1,8,3,1,1,3,2,1,0,3,93154,83253,92612,-9359,15553,workspace,5222,128,3162,97,2985,31,177,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
511f5e891dcba126bf6159bb1f816a3d25895f00,5626,136,5761,3,2,2,539,66,3,3,66,24,2,0,26,1,0,0,1,91,5,3,93,4533,135,1,4667,1093,1,0,1094,5610,136,7,5739,303,2,305,13,1,0,14,12,1,0,13,13163988,14380,13137329,-332669,13123010,workspace,3136,40,1425,37,1380,3,45,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
3c4079edc88deedb01128663bed8040617f0877c,984,96,1080,0,0,0,540,5,2,0,7,3,0,0,3,0,0,0,0,8,2,0,10,526,59,0,585,458,37,0,495,980,93,0,1073,9,2,11,3,1,1,3,3,1,1,3,102226,87584,93154,0,16095,workspace,5225,129,3163,97,2985,32,178,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
