commit,branch1,branch2,merge,rework,wasted,extra,merge_commits_count,files_edited_b1,files_edited_b2,files_edited_intersection,files_edited_union,files_add_b1,files_add_b2,files_add_intersection,files_add_union,files_rm_b1,files_rm_b2,files_rm_intersection,files_rm_union,files_changed_b1,files_changed_b2,files_changed_intersection,files_changed_union,lines_add_b1,lines_add_b2,lines_add_intersection,lines_add_union,lines_rm_b1,lines_rm_b2,lines_rm_intersection,lines_rm_union,lines_changed_b1,lines_changed_b2,lines_changed_intersection,lines_changed_union,commits_b1,commits_b2,commits_total,authors_b1,authors_b2,authors_intersection,authors_union,committers_b1,committers_b2,committers_intersection,committers_union,time_total,time_min_total,time_max_total,time_min_branch,time_max_branch,merge_type,project_commits,developer_commits_in_window_of_time,developer_commits_until_merge,developer_no_merges_in_window_of_time,developer_no_merges_until_merge,developer_merges_in_window_of_time,developer_merges_until_merge,project
d0f6b8eaf8c66927a13834ae549413aea28f4200,15,2,17,0,0,0,32,2,1,0,3,0,0,0,0,0,0,0,0,2,1,0,3,11,2,0,13,4,0,0,4,15,2,0,17,2,1,3,1,1,0,2,1,1,0,2,20947,10952,17070,-6118,15898,workspace,4163,84,2404,80,2336,4,68,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
2b364b34bb85300b30ae25183528c86a64525a85,16,31,47,0,0,0,33,2,2,0,4,0,0,0,0,0,0,0,0,2,2,0,4,6,19,0,25,10,12,0,22,16,31,0,47,3,1,4,2,1,0,3,2,1,0,3,316464,309395,315160,-5532,5765,workspace,4814,49,2952,44,2829,5,123,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
716ad5fd8aa3be2cfe46ab3d06fc1c9aee1f27f0,332,125,457,0,0,0,34,9,2,0,11,3,0,0,3,0,0,0,0,12,2,0,14,309,95,0,404,23,30,0,53,331,121,0,452,14,10,24,3,1,0,4,2,1,0,3,118441,42710,112869,15460,109128,workspace,5399,189,3265,138,3062,51,203,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
626cefeac35afdf00fb85c01ed66f485f47b53a0,2,31,33,0,0,0,35,1,3,0,4,0,0,0,0,0,0,0,0,1,3,0,4,1,28,0,29,1,3,0,4,2,31,0,33,2,1,3,2,1,1,2,2,1,1,2,26454,23433,26322,-996,2889,workspace,5595,26,3376,20,3142,6,234,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
65b31e0cacbdd2dc57a8406b420559f7e5fb4867,872,20,892,0,0,0,36,5,1,0,6,4,0,0,4,1,0,0,1,10,1,0,11,534,11,0,545,338,9,0,347,872,20,0,892,8,2,10,2,1,0,3,2,1,1,2,50596,46911,47458,34525,38549,workspace,5266,141,3181,102,2996,39,185,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
2b1ddc26801abd94fcf5a3cdf312cbf4156843f4,2,9,11,0,0,0,37,1,3,0,4,0,0,0,0,0,0,0,0,1,3,0,4,1,7,0,8,1,2,0,3,2,9,0,11,1,3,4,1,1,0,2,1,1,0,2,4495,3021,3078,0,321,workspace,5599,27,3377,20,3142,7,235,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
0deb7c507d85c1f17b31670f617b2f5d2029a16c,232,152,383,1,0,0,38,14,5,4,15,0,0,0,0,0,0,0,0,14,5,4,15,181,121,1,301,51,31,0,82,232,152,1,383,18,1,19,7,1,0,8,7,1,0,8,1516670,1083104,1471915,0,1237032,workspace,5766,24,3474,19,3219,5,255,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
33d1c8cc0154266a2a54e9050408422c7884acdf,80,79,159,0,0,0,39,8,3,0,11,2,0,0,2,0,0,0,0,10,3,0,13,63,68,0,131,17,11,0,28,80,78,0,158,10,1,11,3,1,0,4,3,1,0,4,1131250,917088,1094915,-177827,652403,workspace,5700,19,3441,13,3196,6,245,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
4ffa70970dc7219aa71c137c728280b7460ed604,1517,6,1523,0,0,0,40,43,2,0,45,7,0,0,7,2,0,0,2,52,2,0,54,1304,4,0,1308,213,2,0,215,1504,6,0,1510,78,1,79,14,1,0,15,13,1,0,14,5422727,591462,5302325,-263112,4710863,workspace,5601,28,3378,20,3142,8,236,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
f70e3c3297bb0d8f953971a84a1a606351fdda40,1052,115,1167,0,0,0,41,29,8,3,34,3,0,0,3,0,0,0,0,32,8,3,37,807,64,0,871,245,51,0,296,1043,115,0,1158,71,3,74,9,1,0,10,8,1,0,9,1169570,49622,1167382,9792,1127741,branch,5445,165,3290,113,3078,52,212,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
db68c9ca83fa68b420e42b8ce7dfecae751c3773,1579,76,1598,57,56,0,42,20,5,4,21,0,0,0,0,0,0,0,0,20,5,4,21,802,39,28,813,777,37,29,785,1577,76,57,1596,7,3,10,1,1,1,1,1,1,1,1,432311,229058,432176,177898,427418,branch,3466,146,1747,143,1695,3,52,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
616cf6c539eaa9c9dd2808492cf4d94cba9c9a32,5261,648,5909,0,0,0,43,22,5,1,26,1,7,0,8,0,0,0,0,23,12,1,34,5008,646,0,5654,252,2,0,254,5257,648,0,5905,15,9,24,3,1,0,4,3,1,0,4,609108,175457,607812,61893,521031,branch,5011,81,3028,55,2882,26,146,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
