commit,wasted
0fc0db67c64bf8ab4593d1f84b8d1be517fa1b74,3
d053fb16f6519726c14ac4580301df4883e4af23,1
cdc99a85728a6a322bf28151ef37f5e5298c7b58,8
04f8ae56db0ba9df798b39a5b2f1bb1e23d6dcf3,171
5f813233c9e2b51497c1e5fe4bc10ffd641a3b5e,1
133b523d2b3a95796e66e77fe6962abf79c3a4c7,194
e4a1cb6f87ac1ba2035c833dca5d9619edeefb8d,72
99fc4ab634738136daa993443042a4cbf68c510c,6
1773198e8d4c5ebe82b4780ebf0828833aa61846,2
37574065e0a1a22493bdbf1ce8dd0480aa88c758,50
0a3a50a1293e4e8f3e04161014d03802765140c7,3
605842f193aedc1151ab38a99c49f693c76e5cf3,2
2887623c4ae1960dfef52b14cd4afc3b279f9feb,2
38f172e7f55db3daeb93f61fd97919ae4ff1f1cf,2
ab07b06823ea9748a6091aee2281495f86f00bce,9
ce52c16a8fcb056d1b9b9418304f22bc15dae160,8
582119502e88aba60848b90f6ba5e977e7442d82,25
47ebeaa95cec1c975c3b0b807fe9ddf188452492,11
07e9794306d597afe5d90d192fd32a99572c3cc3,6
885d152e92b20bdaeb0d0ad20affd269fc3b55d3,2
72ffe3468ab221748ce9bc2657aef39fab755b6a,1
6301b186850d6f8994ff37385bfb70916dc1bb4b,228
7dcff2b5ff83faf44c24c1e5872b0a5dd850b1ae,66
ec4ba071097fe80b79604fc304ecf6d6d3f2c2f2,98
5425154f96dcdcf93002ca83b3b3096dc673b4ce,5
86b9e7d7d604e00cfd7ab63351d3221cd5cf872e,6407
319f520e4df2d1d904d57259b54bfa9e5e504f06,50
32a0493cde3339fbc86867d197f356741ee77c09,24
30867001d17222cc5d0b18086dca9f5d9bcb3934,1
3a89ff24496710bc8c8377e900439cfa6c699153,2
d64d987e1da66691ccd0e7e04fd54babc2c5bab4,275
230f025bc73f031ae6b1dfe9c5397754a4c3a649,2
493bb05ed0945ea1193836d55627fde88a34a501,12
c4a6dcfe4bd5f5613cee3596e68a1eb7a97bd32e,4
1a8366598afdbf4de31dcbaf0d9585f7a8a5e7b4,24
71a958b0b7f628fefa82c1c2284369a6a557fa7b,3
ac7e066383a6878beb0618597c2be6fa9eb1982e,8082
ec28b607fd58489024ea7a6e801a97507036c1b2,4703
400221f851cfda884c47b9cae55f347438ae007d,3
1c83fd4b6624d9ee7daf70a9ddf353113b69df7b,2
864d202cda48cc66ec0dc2cca5133299f8987643,418
c4dd68ae21f63c85b8c6e6f77bfdf19e14835e65,2261
e31007248c1765046ecfc6bf0d62dc85898de2c7,6
7814ecbd4781969f4a5400c264e75b7c9d036d43,42
9d78779257b156bec335af4ab2a66bb3cac30ca6,3
10fe324845512cd82c4c297d896799761016dfc4,4
